# Stretch	Load
0.00000	1.89583
0.00034	1.88346
0.00069	4.03148
0.00103	0.11155
0.00138	2.03433
0.00172	5.79003
0.00207	5.55949
0.00241	6.22789
0.00276	12.22773
0.00310	8.21100
0.00345	12.47174
0.00379	11.08357
0.00414	16.58623
0.00448	10.46847
0.00483	16.28217
0.00517	23.19197
0.00552	12.60861
0.00586	16.81119
0.00621	20.47719
0.00655	18.96420
0.00690	17.83715
0.00724	19.99999
0.00759	24.92942
0.00793	24.65813
0.00828	22.53788
0.00862	24.57972
0.00897	32.44906
0.00931	27.60794
0.00966	22.34961
0.01000	32.22742
